"longevity","condition"
51,"Null"
43,"Null"
40,"Null"
49,"Null"
60,"Null"
63,"Null"
69,"Null"
62,"Null"
67,"Null"
75,"Null"
67,"Null"
28,"Null"
75,"Null"
66,"Null"
76,"Null"
63,"Null"
46,"Null"
51,"Null"
83,"Null"
56,"Null"
71,"Null"
76,"Null"
62,"Null"
59,"Null"
47,"Null"
96,"OnePreg"
50,"OnePreg"
68,"OnePreg"
74,"OnePreg"
34,"OnePreg"
35,"OnePreg"
57,"OnePreg"
74,"OnePreg"
90,"OnePreg"
65,"OnePreg"
53,"OnePreg"
72,"OnePreg"
73,"OnePreg"
54,"OnePreg"
56,"OnePreg"
67,"OnePreg"
78,"OnePreg"
51,"OnePreg"
73,"OnePreg"
79,"OnePreg"
89,"OnePreg"
41,"OnePreg"
62,"OnePreg"
66,"OnePreg"
49,"OnePreg"
82,"OneVirgin"
45,"OneVirgin"
79,"OneVirgin"
40,"OneVirgin"
70,"OneVirgin"
64,"OneVirgin"
91,"OneVirgin"
72,"OneVirgin"
80,"OneVirgin"
66,"OneVirgin"
71,"OneVirgin"
91,"OneVirgin"
66,"OneVirgin"
76,"OneVirgin"
82,"OneVirgin"
64,"OneVirgin"
63,"OneVirgin"
54,"OneVirgin"
40,"OneVirgin"
86,"OneVirgin"
56,"OneVirgin"
51,"OneVirgin"
56,"OneVirgin"
62,"OneVirgin"
74,"OneVirgin"
75,"EightPreg"
94,"EightPreg"
88,"EightPreg"
39,"EightPreg"
81,"EightPreg"
29,"EightPreg"
71,"EightPreg"
54,"EightPreg"
45,"EightPreg"
35,"EightPreg"
46,"EightPreg"
48,"EightPreg"
57,"EightPreg"
61,"EightPreg"
25,"EightPreg"
52,"EightPreg"
50,"EightPreg"
50,"EightPreg"
49,"EightPreg"
56,"EightPreg"
54,"EightPreg"
51,"EightPreg"
68,"EightPreg"
55,"EightPreg"
42,"EightPreg"
44,"EightVirgin"
42,"EightVirgin"
48,"EightVirgin"
46,"EightVirgin"
45,"EightVirgin"
43,"EightVirgin"
25,"EightVirgin"
43,"EightVirgin"
41,"EightVirgin"
45,"EightVirgin"
36,"EightVirgin"
42,"EightVirgin"
17,"EightVirgin"
54,"EightVirgin"
29,"EightVirgin"
37,"EightVirgin"
39,"EightVirgin"
19,"EightVirgin"
41,"EightVirgin"
45,"EightVirgin"
26,"EightVirgin"
52,"EightVirgin"
50,"EightVirgin"
43,"EightVirgin"
41,"EightVirgin"
