WAA,Contract Year,Age
7.7,Last,Young
7.3,First,Young
6.2,Middle,Young
5.8,Middle,Old
5.2,Last,Young
5.1,Last,Young
4.9,Last,Young
4.9,Last,Young
4.8,Last,Young
4.8,Last,Young
4.3,Middle,Young
4.2,Last,Young
4,Last,Young
4,Last,Young
4,Last,Young
3.3,Last,Young
3.1,Last,Young
3,Middle,Young
3,Middle,Old
3,Last,Young
3,First,Young
3,Middle,Young
2.9,Middle,Young
2.6,Middle,Young
2.5,Middle,Old
2.5,Last,Young
2.4,Middle,Old
2.4,Last,Young
2.3,Last,Young
2.3,Last,Young
2.3,Middle,Old
2.2,Last,Young
2.2,Middle,Young
2.1,Last,Young
2,Last,Young
2,First,Young
1.9,Last,Young
1.9,Middle,Young
1.9,Last,Young
1.9,First,Young
1.8,Middle,Old
1.7,Last,Young
1.7,Middle,Young
1.7,Middle,Old
1.5,Last,Young
1.5,Middle,Young
1.5,Last,Old
1.4,First,Young
1.3,Last,Young
1.2,Middle,Old
1.1,Last,Young
1,Last,Young
1,Middle,Old
1,Last,Young
1,First,Old
0.9,Middle,Old
0.8,Middle,Old
0.8,Middle,Old
0.7,Last,Young
0.7,Last,Young
0.7,Middle,Young
0.7,Last,Young
0.6,Last,Young
0.6,Last,Young
0.5,Last,Young
0.5,Middle,Young
0.5,Last,Young
0.4,First,Young
0.4,First,Old
0.4,Last,Young
0.3,Last,Young
0.3,Middle,Old
0.2,First,Old
0,Last,Young
0,Middle,Old
-0.1,Middle,Old
-0.1,First,Old
-0.1,Last,Young
-0.2,Last,Young
-0.3,Last,Young
-0.3,Middle,Old
-0.4,Last,Young
-0.4,Last,Young
-0.6,Last,Young
-0.6,First,Young
-0.6,Last,Young
-0.8,Last,Young
-0.8,Middle,Old
-0.9,Middle,Old
-0.9,Last,Young
-0.9,First,Old
-1,Middle,Old
-1,Last,Old
-1,First,Young
-1.1,Last,Young
-1.2,Last,Old
-1.2,Last,Young
-1.2,Middle,Young
-1.2,Middle,Young
-1.2,Middle,Young
-1.3,First,Old
-1.3,Last,Young
-1.4,Last,Old
-1.4,First,Old
-1.5,Last,Young
-1.6,First,Old
-1.8,Last,Young
-1.9,Last,Young
-1.9,Last,Young
-1.9,Middle,Young
-1.9,Middle,Old
-2.3,Middle,Old
-2.3,First,Young
-2.6,Last,Old
-2.7,First,Young
-3.5,Middle,Old
